Vintage,Country,Region,Wine,Quantity,Size,Peak Drinking Window,Classification,Wine Rating,Professional Critic Ratings,Wine Notes,Varietal,Alcohol Level,Flavour Profile,Recommended Service Temp
2015,Italy,Tuscany,Sesti (Castello di Argiano) Brunello di Montalcino,12,750ml,2025-2045,DOCG,3,JS 94 : AG 93 : RP 93,"Traditional Brunello with wild cherry, dried herbs, leather and a distinctive earthy character. Medium-to-full-bodied with firm tannins and a long, savoury finish.",Sangiovese,14%,Wild cherry : Dried herbs : Leather : Earth : Iron : Tobacco,16-18°C
2015,Italy,Tuscany,Siro Pacenti Brunello di Montalcino 'Vecchie Vigne',6,750ml,2025-2048,DOCG,4,JS 97 : RP 96 : AG 96,"Stunning old-vine Brunello with incredible concentration and depth. Dark cherry, plum, leather, spice and balsamic notes converge with polished tannins and a seemingly endless finish.",Sangiovese,15%,Dark cherry : Plum : Leather : Spice : Balsamic : Tobacco,16-18°C
2016,France,Bordeaux,Chateau Capbern,6,75cl,2026-2040,Cru Bourgeois Superieur,2,JS 92 : RP 90 : JA 90,"Charming Saint-Estephe with ripe dark fruit, cedar and graphite notes. Medium-bodied with firm tannins and good freshness. Excellent value.",Cabernet Sauvignon : Merlot : Petit Verdot,13%,Dark fruit : Cedar : Graphite : Blackcurrant : Spice : Earth,16-18°C
2016,France,Bordeaux,Chateau Clos du Marquis,2,75cl,2028-2050,-,3,JS 95 : RP 93 : NM 93 : JA 93,"Elegant and precise with cassis, graphite, cedar and violets. Firm and finely structured with polished tannins and impressive length. A standout Saint-Julien.",Cabernet Sauvignon : Merlot : Cabernet Franc,13%,Cassis : Graphite : Cedar : Violet : Blackcurrant : Spice,16-18°C
2016,France,Bordeaux,Chateau Gloria,12,75cl,2026-2042,-,2,JS 93 : RP 91 : JA 91,"Classic Saint-Julien with ripe blackcurrant, plum, cedar and tobacco. Medium-to-full-bodied with supple tannins and a generous, fleshy palate.",Cabernet Sauvignon : Merlot : Cabernet Franc : Petit Verdot,13%,Blackcurrant : Plum : Cedar : Tobacco : Vanilla : Earth,16-18°C
2016,France,Bordeaux,Chateau Grand-Puy-Lacoste,6,75cl,2028-2055,5eme Grand Cru Classe,4,JS 96 : NM 95 : RP 94+ : JA 94,"A brilliant, neoclassical Pauillac with cedar, graphite and a fresh array of ripe blackberries, dark cherries and cassis. Seamless palate with fine, firm, ascending layers of tannins. Classic Pauillac to its core.",Cabernet Sauvignon : Merlot,13.3%,Blackberry : Cedar : Graphite : Cassis : Tobacco : Truffle,16-18°C
2016,France,Bordeaux,Chateau Les Ormes de Pez,12,75cl,2026-2042,-,2,JS 92 : RP 90 : JA 90,"Well-made Saint-Estephe with dark fruit, spice and earthy notes. Medium-bodied with firm tannins, good acidity and a clean finish.",Cabernet Sauvignon : Merlot : Cabernet Franc : Petit Verdot,13.5%,Dark fruit : Spice : Earth : Cedar : Blackcurrant : Graphite,16-18°C
2016,France,Bordeaux,Chateau Meyney,12,75cl,2026-2042,Cru Bourgeois Exceptionnel,2,JS 94 : RP 92 : JA 91,"Powerful Saint-Estephe with concentrated dark fruit, graphite and spice. Full-bodied with robust tannins and impressive depth. Outstanding value.",Cabernet Sauvignon : Merlot : Petit Verdot : Cabernet Franc,14%,Dark fruit : Graphite : Spice : Blackcurrant : Cedar : Leather,16-18°C
2016,Italy,Piedmont,"Barbaresco: Produttori del Barbaresco, Riserva Ovello",1,Magnum,2028-2055,DOCG Riserva,4,AG 95 : JS 95 : RP 94,"The Ovello Riserva delivers a powerful expression of Barbaresco with dark cherry, iron, tar and dried herbs. Firm, structured tannins and outstanding concentration.",Nebbiolo,14.5%,Dark cherry : Iron : Tar : Dried herbs : Rose : Mineral,18-20°C
2016,Italy,Piedmont,"Barolo: Chiara Boschis (E. Pira), Cannubi",1,Magnum,2028-2056,DOCG,5,AG 96 : JS 96 : RP 95,"Exquisite Cannubi with extraordinary perfume of rose, cherry, tar and spice. Silky tannins and remarkable elegance define this quintessential expression of the legendary cru.",Nebbiolo,14.5%,Rose : Cherry : Tar : Spice : Violet : Mineral,18-20°C
2016,Italy,Piedmont,"Barolo: Chiara Boschis (E. Pira), Mosconi",6,750ml,2028-2052,DOCG,4,AG 95 : JS 95 : RP 94,"Rich and structured Barolo from Mosconi with dark cherry, plum, leather and balsamic notes. Dense but refined tannins and excellent concentration.",Nebbiolo,14.5%,Dark cherry : Plum : Leather : Balsamic : Tar : Spice,18-20°C
2016,Italy,Piedmont,"Barolo: Michele Chiarlo, Cannubi",6,750ml,2028-2050,DOCG,4,JS 95 : AG 94 : RP 93,"Elegant Cannubi with bright red cherry, rose petal, cinnamon and a minerally core. Fine-grained tannins and excellent balance make this an approachable yet age-worthy Barolo.",Nebbiolo,14.5%,Red cherry : Rose petal : Cinnamon : Mineral : Tar : Violet,18-20°C
2016,Italy,Tuscany,Canalicchio di Sopra Brunello di Montalcino,6,750ml,2026-2048,DOCG,3,JS 96 : AG 95 : RP 94,"Vibrant and intense Brunello with red cherry, wild herbs, iron and spice. Medium-to-full-bodied with firm tannins and a long, mineral-driven finish.",Sangiovese,14.5%,Red cherry : Wild herbs : Iron : Spice : Leather : Earth,16-18°C
2016,Italy,Tuscany,Canalicchio di Sopra Brunello di Montalcino 'La Casaccia',1,1.5L (Magnum),2028-2055,DOCG,4,JS 97 : AG 96 : RP 95,"Single-vineyard Brunello of outstanding depth with dark cherry, plum, leather and exotic spice. Concentrated and powerful with velvety tannins and extraordinary persistence.",Sangiovese,14.5%,Dark cherry : Plum : Leather : Exotic spice : Mineral : Earth,16-18°C
2016,Italy,Tuscany,Castello Romitorio Brunello di Montalcino,7,750ml,2026-2046,DOCG,3,JS 94 : RP 93 : AG 92,"Modern-styled Brunello with ripe dark cherry, plum, vanilla and spice. Full-bodied with smooth tannins and a generous, open palate.",Sangiovese,14%,Dark cherry : Plum : Vanilla : Spice : Leather : Tobacco,16-18°C
2016,Italy,Tuscany,Poggio di Sotto Brunello di Montalcino,6,750ml,2026-2052,DOCG,5,AG 97 : JS 97 : RP 96,"Magnificent Brunello of crystalline purity with red cherry, blood orange, rose, crushed stone and spice. Ethereal yet powerful with polished tannins and extraordinary length.",Sangiovese,14%,Red cherry : Blood orange : Rose : Crushed stone : Spice : Herbs,16-18°C
2017,France,Burgundy,Domaine Jean Tardy et Fils Nuits-St-Georges 1er Cru 'Aux Argillas',1,75cl,2025-2040,1er Cru,3,BH 91 : JR 17,"Perfumed Nuits-Saint-Georges with red and dark berry fruit, earth and subtle spice. Medium-bodied with fine tannins and a savoury, lingering finish.",Pinot Noir,13%,Red berry : Dark berry : Earth : Spice : Violet : Leather,15-17°C
2017,France,Burgundy,Louis Jadot Beaune 1er Cru 'Clos des Ursules',4,75cl,2025-2038,1er Cru,3,BH 92 : JS 93 : WS 92,"A flagship monopole bottling from Jadot showing ripe cherry, raspberry, spice and a touch of new oak. Medium-bodied with silky tannins and good length.",Pinot Noir,13%,Cherry : Raspberry : Spice : Vanilla : Earth : Floral,15-17°C
2017,Italy,Piedmont,"Barbaresco: Boffa Carlo, Paje",2,750ml,2027-2047,DOCG,3,JS 93 : AG 92,"Traditionally crafted Barbaresco from the Paje cru with dried cherry, rose, tar and herbal notes. Firm tannins and excellent acidity provide classical structure.",Nebbiolo,14%,Dried cherry : Rose : Tar : Herbs : Leather : Spice,18-20°C
2017,Italy,Piedmont,"Barbaresco: Vietti, Masseria",6,750ml,2027-2050,DOCG,4,AG 95 : JS 95 : RP 94,"Elegant and intensely perfumed with red cherry, wild strawberry, crushed flowers and spice. Refined tannins and outstanding length from this prestigious single vineyard.",Nebbiolo,14.5%,Red cherry : Wild strawberry : Crushed flowers : Spice : Mineral : Tar,18-20°C
2017,Italy,Piedmont,"Barolo: Chiara Boschis (E. Pira), Via Nuova",8,750ml,2027-2050,DOCG,4,AG 94 : JS 94 : RP 93,"A blend from multiple crus delivering complexity and accessibility. Dark cherry, dried flowers, leather and spice with supple, integrated tannins.",Nebbiolo,14.5%,Dark cherry : Dried flowers : Leather : Spice : Tar : Tobacco,18-20°C
2017,Italy,Piedmont,"Barolo: Massolino, Parafada",2,750ml,2027-2050,DOCG,4,AG 94 : JS 94 : RP 93 : WE 94,"Structured Barolo from the Parafada cru in Serralunga. Dark fruit, tar, tobacco and mineral notes with dense, firm tannins and impressive depth.",Nebbiolo,14.5%,Dark fruit : Tar : Tobacco : Mineral : Spice : Liquorice,18-20°C
2017,Italy,Piedmont,"Barolo: Oddero, Villero",2,750ml,2027-2050,DOCG,4,JS 95 : AG 94 : RP 93,"Powerful Villero cru with dark cherry, tar, liquorice, iron and dried herbs. Firm, structured tannins and wonderful depth. A Barolo built for ageing.",Nebbiolo,14.5%,Dark cherry : Tar : Liquorice : Iron : Dried herbs : Earth,18-20°C
2017,Spain,Ribera del Duero,Vega Sicilia Alion,4,750ml,2024-2038,-,4,JS 94 : RP 94 : WS 93,"A classical Alion with developed aromas, juicy and round but not heavy, with a tad of earthy rusticity. Balsamic notes and hints of liquorice develop with time.",Tempranillo,15%,Dark berry : Chocolate : Coffee : Liquorice : Balsamic : Spice,16-18°C
2017,Italy,Tuscany,San Filippo Brunello di Montalcino 'Le Lucere',6,750ml,2027-2050,DOCG,4,JS 97 : AG 95 : RP 95,"Superb single-vineyard Brunello with layers of dark cherry, plum, dried herbs, leather and mineral. Full-bodied with velvety tannins and outstanding persistence.",Sangiovese,14.5%,Dark cherry : Plum : Dried herbs : Leather : Mineral : Tobacco,16-18°C
2018,France,Burgundy,Domaine Gerard Julien et Fils Nuits-St-Georges,3,Magnum,2026-2040,Village,2,BH 90 : JR 16.5,"Charming village Nuits with ripe red fruit, earth and gentle spice. Medium-bodied with soft tannins and a clean, balanced finish.",Pinot Noir,13%,Red fruit : Earth : Spice : Cherry : Leather : Floral,15-17°C
2018,Italy,Piedmont,"Barbaresco: Giuseppe Cortese, Rabaja",2,750ml,2028-2048,DOCG,3,AG 94 : JS 93 : RP 93,"Classic Rabaja with perfumed red cherry, rose, tar and dried herbs. Fine-grained tannins and excellent purity from this revered cru.",Nebbiolo,14.5%,Red cherry : Rose : Tar : Dried herbs : Mineral : Spice,18-20°C
2018,Italy,Piedmont,"Barbaresco: La Ca Nova, Bric Mentina Montefico",12,750ml,2028-2048,DOCG,3,JS 93 : AG 92,"Expressive Barbaresco from the Montefico cru with red cherry, wild herbs, rose and spice. Medium-to-full-bodied with firm tannins and good freshness.",Nebbiolo,14%,Red cherry : Wild herbs : Rose : Spice : Tar : Earth,18-20°C
2018,Italy,Piedmont,"Barbaresco: La Ca Nova, Montestafano",8,750ml,2028-2048,DOCG,3,JS 93 : AG 92,"Rich and structured Barbaresco from Montestefano with dark cherry, tar, leather and spice. Full-bodied with dense tannins and a long, persistent finish.",Nebbiolo,14%,Dark cherry : Tar : Leather : Spice : Dried herb : Mineral,18-20°C
2018,Spain,Priorat,Clos Mogador,3,750ml,2025-2040,-,5,RP 97 : JS 96 : AG 95 : JR 18,"Iconic Priorat with remarkable depth and complexity. Dark fruit, mineral, garrigue and balsamic notes with layers of flavour that unfold over time. Polished tannins and extraordinary persistence.",Garnacha : Carinena : Syrah : Cabernet Sauvignon,15%,Dark fruit : Mineral : Garrigue : Balsamic : Graphite : Spice,16-18°C
2018,Italy,Tuscany,Il Poggione Brunello di Montalcino,6,750ml,2028-2050,DOCG,3,JS 95 : AG 94 : RP 94,"Classic, age-worthy Brunello with dark cherry, plum, leather, tobacco and spice. Full-bodied with firm tannins and excellent structure. A benchmark for the estate.",Sangiovese,14.5%,Dark cherry : Plum : Leather : Tobacco : Spice : Earth,16-18°C
2019,France,Bordeaux,Chateau Brane-Cantenac,3,Magnum,2030-2060,2eme Grand Cru Classe,5,JS 97 : NM 96 : RP 95 : JA 95,"Outstanding Margaux with silky texture, floral perfume and layers of dark fruit, graphite and spice. Supremely elegant with refined tannins and exceptional length.",Cabernet Sauvignon : Merlot : Cabernet Franc : Carmenere,13.5%,Dark fruit : Graphite : Floral : Spice : Cedar : Violet,16-18°C
2019,France,Bordeaux,Chateau La Clotte,12,75cl,2027-2045,Grand Cru Classe,3,JS 93 : RP 92 : NM 91,"Charming Saint-Emilion with plum, cherry, spice and subtle oak. Medium-bodied with soft tannins and a round, accessible palate.",Merlot : Cabernet Franc,14%,Plum : Cherry : Spice : Oak : Tobacco : Earth,16-18°C
2019,France,Bordeaux,Chateau Les Cruzelles,6,75cl,2026-2042,-,3,JS 94 : RP 93 : NM 92,"Excellent Lalande-de-Pomerol with rich dark fruit, truffle, chocolate and spice. Full-bodied with plush, velvety tannins and a generous, fleshy palate.",Merlot : Cabernet Franc,14.5%,Dark fruit : Truffle : Chocolate : Spice : Plum : Cedar,16-18°C
2019,France,Bordeaux,Chateau Leoville Poyferre,6,75cl,2030-2060,2eme Grand Cru Classe,5,JS 98 : NM 97 : RP 97 : JA 96,"A monumental Saint-Julien with extraordinary depth and precision. Dense cassis, blackberry, graphite and cedar with seamless, polished tannins and remarkable persistence.",Cabernet Sauvignon : Merlot : Petit Verdot : Cabernet Franc,13.5%,Cassis : Blackberry : Graphite : Cedar : Violet : Spice,16-18°C
2019,France,Bordeaux,Chateau Meyney,12,75cl,2027-2045,Cru Bourgeois Exceptionnel,2,JS 93 : RP 92 : JA 91,"Powerful Saint-Estephe with concentrated dark fruit, graphite and spice. Full-bodied with firm tannins and impressive depth for its classification.",Cabernet Sauvignon : Merlot : Petit Verdot : Cabernet Franc,14%,Dark fruit : Graphite : Spice : Cedar : Leather : Earth,16-18°C
2019,France,Burgundy,Domaine Heresztyn-Mazzini Gevrey-Chambertin 'Les Jouises' V.V.,2,75cl,2025-2038,Village,3,BH 92 : JR 17 : AG 91,"Old-vine village Gevrey with depth and character. Red and dark fruit, earth, spice and subtle forest floor. Well-structured with fine tannins.",Pinot Noir,13%,Red fruit : Dark fruit : Earth : Spice : Forest floor : Leather,15-17°C
2019,France,Burgundy,Domaine Heresztyn-Mazzini Gevrey-Chambertin 'Les Songes' V.V.,1,75cl,2025-2038,Village,3,BH 91 : JR 16.5,"Silky old-vine Gevrey with red cherry, raspberry, violet and earthy notes. Elegant and approachable with refined tannins and a delicate finish.",Pinot Noir,13%,Red cherry : Raspberry : Violet : Earth : Spice : Mineral,15-17°C
2019,France,Burgundy,Domaine Stephanie Magnien MSD 1er Cru 'Aux Petites Noix',2,75cl,2027-2042,1er Cru,3,BH 92 : JR 17 : AG 92,"Structured Morey-Saint-Denis 1er Cru with dark fruit, mineral, leather and spice. Firm tannins and good concentration suggest excellent ageing potential.",Pinot Noir,13%,Dark fruit : Mineral : Leather : Spice : Earth : Violet,15-17°C
2019,France,Burgundy,Domaine Joseph Voillot Pommard 'Vieilles Vignes',1,75cl,2025-2038,Village,3,BH 91 : AG 91 : JR 16.5,"Classic Pommard with dark fruit, earth, iron and spice. Medium-to-full-bodied with firm tannins and the rustic charm typical of the appellation.",Pinot Noir,13%,Dark fruit : Earth : Iron : Spice : Leather : Dried herb,15-17°C
2019,France,Burgundy,Domaine Taupenot-Merme Gevrey-Chambertin,2,75cl,2025-2038,Village,3,BH 91 : AG 91 : JR 17,"Expressive village Gevrey with red and dark fruit, earth, subtle spice and a touch of oak. Balanced with silky tannins and a fresh, lingering finish.",Pinot Noir,13%,Red fruit : Dark fruit : Earth : Spice : Oak : Cherry,15-17°C
2019,France,Burgundy,Domaine Thomas Morey Chassagne 1er Cru 'Les Embrazees',8,75cl,2027-2042,1er Cru,3,BH 93 : JR 17.5 : AG 93,"An outstanding white Burgundy with concentrated citrus, white peach, hazelnut and mineral notes. Full-bodied yet precise with excellent acidity and a long, saline finish.",Chardonnay,13%,Citrus : White peach : Hazelnut : Mineral : Butter : Saline,10-12°C
2019,France,Burgundy,Justin Girardin Santenay 1er Cru 'Clos Rousseau',1,75cl,2025-2038,1er Cru,2,BH 91 : AG 90,"Robust Santenay 1er Cru with dark cherry, earth, spice and a hint of stone. Full-bodied with firm tannins and good concentration.",Pinot Noir,13%,Dark cherry : Earth : Spice : Stone : Iron : Leather,15-17°C
2019,France,Burgundy,Maison Albert Bichot Corton Grand Cru 'Clos des Marechaudes',6,75cl,2029-2050,Grand Cru,4,BH 93 : JS 94 : AG 93,"Commanding Grand Cru with dark fruit, mineral, spice and earthy complexity. Full-bodied with structured tannins and impressive depth. Built for long ageing.",Pinot Noir,13.5%,Dark fruit : Mineral : Spice : Earth : Leather : Cherry,15-17°C
2019,France,Burgundy,Maison Albert Bichot Pommard 1er Cru 'Les Rugiens',6,75cl,2028-2045,1er Cru,4,BH 93 : JS 93 : AG 92,"Powerful Rugiens with iron, dark fruit, earth and spice. Dense and structured with firm tannins and the signature mineral intensity of this celebrated climat.",Pinot Noir,13.5%,Iron : Dark fruit : Earth : Spice : Mineral : Leather,15-17°C
2019,Italy,Piedmont,"Barbaresco: Fiorenzo Nada, Montaribaldi",1,Magnum,2030-2055,DOCG,3,JS 93 : AG 92,"Refined Barbaresco with red cherry, rose, dried herbs and spice. Elegant and perfumed with silky tannins and a long, balanced finish.",Nebbiolo,14%,Red cherry : Rose : Dried herbs : Spice : Earth : Tar,18-20°C
2019,Italy,Piedmont,"Barbaresco: La Ca Nova, Bric Mentina Montefico",6,750ml,2029-2050,DOCG,3,JS 93 : AG 92,"Expressive Montefico cru with wild cherry, herbs, rose and mineral. Medium-to-full-bodied with fine-grained tannins and impressive balance.",Nebbiolo,14%,Wild cherry : Herbs : Rose : Mineral : Tar : Earth,18-20°C
2019,Italy,Piedmont,"Barbaresco: Produttori del Barbaresco, Normale",6,750ml,2027-2045,DOCG,2,AG 92 : JS 92 : RP 91,"The benchmark entry-level Barbaresco with red cherry, dried herbs, tar and spice. Vibrant and well-balanced with fine tannins and good freshness.",Nebbiolo,14.5%,Red cherry : Dried herbs : Tar : Spice : Rose : Earth,18-20°C
2019,Italy,Piedmont,"Barolo: Elio Grasso, Gavarini Chiniera",2,Magnum,2030-2060,DOCG,5,AG 96 : JS 96 : RP 95,"Outstanding single-vineyard Barolo with dark cherry, crushed flowers, spice and mineral. Powerful yet elegant with fine-grained tannins and exceptional depth.",Nebbiolo,14.5%,Dark cherry : Crushed flowers : Spice : Mineral : Tar : Leather,18-20°C
2019,Italy,Piedmont,"Barolo: Elio Grasso, Ginestra Casa Mate",2,Magnum,2030-2060,DOCG,5,AG 97 : JS 96 : RP 96,"Majestic Ginestra Barolo with incredible depth of dark fruit, tar, rose, liquorice and mineral. Monumental structure with polished tannins. A tour de force.",Nebbiolo,14.5%,Dark fruit : Tar : Rose : Liquorice : Mineral : Leather,18-20°C
2019,Italy,Piedmont,"Barolo: Fratelli Alessandria, Comune di Verduno",6,750ml,2027-2045,DOCG,3,JS 93 : AG 92 : RP 91,"Approachable Barolo from Verduno with bright cherry, strawberry, rose and subtle spice. Lighter-bodied for Barolo with fine tannins and lovely perfume.",Nebbiolo,14%,Cherry : Strawberry : Rose : Spice : Violet : Earth,18-20°C
2019,Italy,Piedmont,"Barolo: Fratelli Alessandria, Gramolere",1,Magnum,2030-2058,DOCG,4,JS 96 : AG 95 : RP 94,"Powerful Gramolere cru with dark fruit, tar, leather, iron and spice. Dense, structured tannins and remarkable concentration. A serious Barolo built for the long haul.",Nebbiolo,14.5%,Dark fruit : Tar : Leather : Iron : Spice : Liquorice,18-20°C
2019,Italy,Piedmont,"Barolo: Renato Corino, Rocche Dell'Annunziata",6,750ml,2028-2052,DOCG,4,JS 95 : AG 94 : RP 93,"Elegant Barolo from a prime La Morra vineyard with red cherry, rose, dried herbs, tar and spice. Silky tannins and exceptional perfume.",Nebbiolo,14.5%,Red cherry : Rose : Dried herbs : Tar : Spice : Mineral,18-20°C
2019,Italy,Tuscany,Castello Romitorio Brunello di Montalcino,6,750ml,2028-2048,DOCG,3,JS 94 : RP 93 : AG 92,"Generous Brunello with dark cherry, plum, vanilla and spice. Full-bodied with smooth tannins and an open, modern expression.",Sangiovese,14%,Dark cherry : Plum : Vanilla : Spice : Leather : Tobacco,16-18°C
2019,Italy,Tuscany,Conti Costanti Brunello di Montalcino,6,750ml,2029-2052,DOCG,4,AG 96 : JS 96 : RP 95,"Classic Brunello of great elegance with red cherry, wild herbs, iron and mineral. Medium-bodied with fine tannins and a long, savoury finish. One of the great traditional estates.",Sangiovese,14%,Red cherry : Wild herbs : Iron : Mineral : Leather : Earth,16-18°C
2019,Italy,Tuscany,Fattoria Le Pupille 'Saffredi' Maremma Toscana,6,750ml,2025-2038,IGT,4,JS 96 : RP 95 : AG 94,"A flagship Super Tuscan from the Maremma with dark fruit, spice, graphite and Mediterranean herbs. Full-bodied with velvety tannins and a generous, warm palate.",Cabernet Sauvignon : Merlot : Petit Verdot,14.5%,Dark fruit : Spice : Graphite : Mediterranean herbs : Plum : Chocolate,16-18°C
2019,Italy,Tuscany,Gianni Brunelli Brunello di Montalcino,1,750ml,2029-2050,DOCG,3,JS 95 : AG 94 : RP 93,"Characterful Brunello with red cherry, dried herbs, leather and iron. Medium-bodied with firm tannins and excellent acidity. A fine expression of traditional Montalcino.",Sangiovese,14%,Red cherry : Dried herbs : Leather : Iron : Earth : Spice,16-18°C
2019,Italy,Tuscany,Il Poggione Brunello di Montalcino,6,750ml,2029-2052,DOCG,4,JS 96 : AG 95 : RP 95,"Outstanding estate Brunello with dark cherry, plum, tobacco, leather and spice. Full-bodied with firm, polished tannins and exceptional depth and persistence.",Sangiovese,14.5%,Dark cherry : Plum : Tobacco : Leather : Spice : Earth,16-18°C
2019,Italy,Tuscany,Poggio di Sotto Rosso di Montalcino,6,750ml,2024-2034,DOC,3,AG 93 : JS 93 : RP 92,"A vivid and perfumed Rosso with bright cherry, wild herbs, blood orange and mineral. Fresh and energetic with fine tannins. Essentially a baby Brunello of remarkable quality.",Sangiovese,13.5%,Bright cherry : Wild herbs : Blood orange : Mineral : Earth : Spice,16-18°C
2020,France,Bordeaux,Chateau Clos du Marquis,6,75cl,2030-2052,-,3,JS 95 : NM 94 : RP 93,"Polished Saint-Julien with cassis, graphite, cedar and spice. Finely structured with elegant tannins and a long, persistent finish.",Cabernet Sauvignon : Merlot : Cabernet Franc,13.5%,Cassis : Graphite : Cedar : Spice : Blackcurrant : Violet,16-18°C
2020,France,Bordeaux,Chateau Langoa Barton,6,75cl,2030-2052,3eme Grand Cru Classe,4,JS 94 : NM 93 : RP 92 : JA 93,"Classic Saint-Julien with dark fruit, cedar and fine tannins. Medium-to-full-bodied with excellent structure and a fresh, linear finish.",Cabernet Sauvignon : Merlot : Cabernet Franc,13.5%,Dark fruit : Cedar : Spice : Tobacco : Graphite : Blackcurrant,16-18°C
2020,France,Bordeaux,Chateau Les Cruzelles,6,75cl,2027-2045,-,3,JS 94 : RP 93 : NM 92,"Rich Lalande-de-Pomerol with dark fruit, truffle and chocolate. Full-bodied with plush tannins and a generous, fleshy palate.",Merlot : Cabernet Franc,14.5%,Dark fruit : Truffle : Chocolate : Plum : Spice : Cedar,16-18°C
2020,France,Bordeaux,Chateau Malartic-Lagraviere,6,75cl,2030-2052,Grand Cru Classe de Graves,4,JS 95 : RP 94 : NM 94 : JA 94,"Polished Pessac-Leognan with dark fruit, graphite, smoke and spice. Full-bodied with refined tannins and a long, complex finish.",Cabernet Sauvignon : Merlot : Cabernet Franc : Petit Verdot,14%,Dark fruit : Graphite : Smoke : Spice : Cedar : Earth,16-18°C
